,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_21_linear_t3_match,hard_agent_21_log10_t3_match,hard_agent_21_ln_t3_match
1,[96 17 15],[222  15 271],[120  94  96],[120  94  96],[90 91 96],[222  15 271],[222  15 271],[222  15 271],[120  94  96],[96 17 15],[96 17 15],[96 17 15],94,False,False,True,True,False,False,False,False,True,False,False,False
2,[231  67 192],[231   1 192],[231  16  89],[ 86   1 192],[ 90  91 202],[231   1 192],[231   1 192],[231   1 192],[231  16  89],[231  67 192],[231  67 192],[231  67 192],192,True,True,False,True,False,True,True,True,False,True,True,True
3,[156 146 234],[195 156 234],[195 120  28],[ 77 120 228],[271  91 181],[195 156 234],[195 156 234],[195 156 234],[146  28 234],[156 146 234],[156 146 234],[156 146 234],234,True,True,False,False,False,True,True,True,True,True,True,True
4,[156 242 220],[242 156 220],[214 182 242],[214 242 182],[271  91 242],[242 156 220],[242 156 220],[242 156 220],[220 242 182],[156 242 220],[156 242 220],[156 242 220],108,False,False,False,False,False,False,False,False,False,False,False,False
5,[156  96  24],[156  96  24],[ 24  97 156],[232  24  96],[91 92 24],[163  97 156],[156  96  24],[156  96  24],[ 24  97 156],[156  96  24],[156  96  24],[156  96  24],232,False,False,False,True,False,False,False,False,False,False,False,False
6,[253 242 203],[242 203 253],[203 242  82],[242 257 203],[ 91 257 271],[205 242 203],[242 203 253],[242 203 253],[203  82 242],[253 242 203],[253 242 203],[253 242 203],214,False,False,False,False,False,False,False,False,False,False,False,False
7,[ 91  20 198],[185  20  91],[198  91  20],[259  20  91],[ 91  92 198],[185  20 198],[185  20  91],[185  20  91],[198  91  20],[ 91  20 198],[ 91  20 198],[ 91  20 198],42,False,False,False,False,False,False,False,False,False,False,False,False
8,[161   2 149],[206   2 149],[  2 161 149],[  2 149 206],[91 92 35],[149   2 161],[206   2 149],[206   2 149],[149   2 161],[161   2 149],[161   2 149],[161   2 149],206,False,True,False,True,False,False,True,True,False,False,False,False
9,[222 215 271],[222 215 271],[271 215 244],[271 244 222],[271  90 215],[271 163 215],[222 215 271],[222 215 271],[244 215 163],[222 215 271],[222 215 271],[222 215 271],222,True,True,False,True,False,False,True,True,False,True,True,True
10,[164  86 231],[164  86 231],[ 86 164 231],[ 91 231  86],[ 91  92 164],[231  86 164],[164  86 231],[164  86 231],[ 86 164 231],[164  86 231],[164  86 231],[164  86 231],86,True,True,True,True,False,True,True,True,True,True,True,True
11,[ 77 156 181],[181 156  77],[ 77 156 181],[ 88 181  77],[91 92 77],[181 156  77],[181 156  77],[181 156  77],[ 77 156 181],[ 77 156 181],[ 77 156 181],[ 77 156 181],77,True,True,True,True,True,True,True,True,True,True,True,True
12,[ 91 156 212],[ 91 156 212],[ 91 156 212],[ 91  86 212],[ 91  86 212],[ 91 156 212],[ 91 156 212],[ 91 156 212],[ 91 156 212],[ 91 156 212],[ 91 156 212],[ 91 156 212],212,True,True,True,True,True,True,True,True,True,True,True,True
13,[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],163,True,True,True,True,True,True,True,True,True,True,True,True
14,[234   5  24],[187 234  24],[185   6   5],[ 53  52 119],[ 90  91 187],[  5 234  60],[187 234  24],[187 234  24],[185   6   5],[234   5  24],[234   5  24],[234   5  24],85,False,False,False,False,False,False,False,False,False,False,False,False
15,[220 143 184],[184 107 220],[184 231 165],[107 231 165],[ 90  91 107],[ 97 260 220],[  2 107 184],[184 107 220],[184 143 165],[220 143 184],[220 143 184],[220 143 184],217,False,False,False,False,False,False,False,False,False,False,False,False
16,[107   8 140],[107   8 140],[257  52 107],[140  86   8],[ 90  91 236],[163 198 236],[140  52 107],[107   8 140],[  8  52 107],[107   8 140],[107   8 140],[107   8 140],8,True,True,False,True,False,False,False,True,True,True,True,True
17,[231 157  22],[167 157  22],[231 157  22],[ 22 167 157],[ 92 167 271],[157 161 236],[231  22 187],[167 157  22],[167 157  22],[231 157  22],[231 157  22],[231 157  22],191,False,False,False,False,False,False,False,False,False,False,False,False
18,[  1 215  92],[ 92 215   1],[ 92 158 205],[ 61 120   1],[ 89  90 205],[  1 161 215],[215 243 158],[ 92 215   1],[158  92 205],[  1 215  92],[  1 215  92],[  1 215  92],61,False,False,False,True,False,False,False,False,False,False,False,False
19,[156 226 140],[221 226 156],[181 226 140],[226 140 228],[271  90 226],[168 221 156],[140 243 181],[221 226 156],[181 140 226],[156 226 140],[156 226 140],[156 226 140],226,True,True,True,True,True,False,False,True,True,True,True,True
20,[ 52 182 149],[ 26 149  52],[198 218  52],[149 182  52],[ 91  92 198],[182 218 198],[182 149  52],[ 26 149  52],[198 218  52],[ 52 182 149],[ 52 182 149],[ 52 182 149],182,True,False,False,True,False,True,True,False,False,True,True,True
21,[221 142 103],[ 77 142 221],[185 103  77],[103  77 142],[ 90  91 185],[103 142 221],[142 221 103],[ 77 142 221],[ 77 103 185],[221 142 103],[221 142 103],[221 142 103],142,True,True,False,True,False,True,True,True,False,True,True,True
22,[258 187   2],[ 53 187  91],[185 187   2],[ 53 187  91],[ 90  91 187],[ 53   2 258],[185 187   2],[ 53 187  91],[187   2 185],[258 187   2],[258 187   2],[258 187   2],53,False,True,False,True,False,True,False,True,False,False,False,False
