,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_21_linear_t3_match,hard_agent_21_log10_t3_match,hard_agent_21_ln_t3_match
23,[163 198 258],[163 198 258],[163 198 258],[  2  23 258],[ 91 271  23],[163 198 258],[163 198 258],[163 198 258],[163 198 258],[163 198 258],[163 198 258],[163 198 258],198,True,True,True,False,False,True,True,True,True,True,True,True
24,[208 181 142],[208 181 142],[208 181 142],[ 64 181 142],[271  91 181],[208 181 142],[208 181 142],[208 181 142],[208 181 142],[208 181 142],[208 181 142],[208 181 142],142,True,True,True,True,False,True,True,True,True,True,True,True
25,[ 84   2 123],[ 84   2 123],[ 84   2 123],[ 84   2 123],[ 89  90 123],[ 84   2 123],[ 84   2 123],[ 84   2 123],[ 84   2 123],[ 84   2 123],[ 84   2 123],[ 84   2 123],123,True,True,True,True,True,True,True,True,True,True,True,True
26,[271 199 243],[271 199 243],[271 199 243],[271 199 243],[ 91  92 243],[271 199 243],[271 199 243],[271 199 243],[271 199 243],[271 199 243],[271 199 243],[271 199 243],243,True,True,True,True,True,True,True,True,True,True,True,True
27,[ 92 167 271],[ 92 167 271],[ 92 167 271],[ 92 167 271],[ 92 167 271],[ 92 167 271],[ 92 167 271],[ 92 167 271],[ 92 167 271],[ 92 167 271],[ 92 167 271],[ 92 167 271],167,True,True,True,True,True,True,True,True,True,True,True,True
28,[ 87 269 127],[269   7 127],[ 87 269 127],[42 87 80],[ 92  87 161],[269  87 127],[269  87 127],[269   7 127],[269  87 127],[ 87 269 127],[ 87 269 127],[ 87 269 127],127,True,True,True,False,False,True,True,True,True,True,True,True
29,[124  73 174],[211  73 174],[124  73 174],[253 119 174],[ 91  92 243],[253  73 174],[124  73 174],[211  73 174],[124  73 174],[124  73 174],[124  73 174],[124  73 174],73,True,True,True,False,False,True,True,True,True,True,True,True
30,[203 133 209],[221 133 209],[203 133 209],[178 133 209],[ 91 133 271],[203 133 209],[203 133 209],[203 133 209],[203 133 209],[203 133 209],[203 133 209],[203 133 209],209,True,True,True,True,False,True,True,True,True,True,True,True
31,[ 80 239  94],[ 80 239  94],[ 80 239  94],[ 80  94 239],[ 91  92 164],[ 80 239  94],[ 80 239  94],[ 80 239  94],[ 80 239  94],[ 80 239  94],[ 80 239  94],[ 80 239  94],218,False,False,False,False,False,False,False,False,False,False,False,False
32,[ 87 238  94],[142  94 238],[ 87 238  94],[142  94 238],[ 91 271  94],[ 87 238  94],[ 87 238  94],[ 87 238  94],[ 87 238  94],[ 87 238  94],[ 87 238  94],[ 87 238  94],238,True,True,True,True,False,True,True,True,True,True,True,True
33,[207 187 265],[187 207 265],[207 187 265],[187 207 265],[ 91 271 265],[  4 187 265],[207 187 265],[207 187 265],[207 187 265],[207 187 265],[207 187 265],[207 187 265],207,True,True,True,True,False,False,True,True,True,True,True,True
34,[129  65 110],[110  65 129],[129  65 110],[222  65 110],[ 91 271  44],[129  65 110],[129  65 110],[129  65 110],[129  65 110],[129  65 110],[129  65 110],[129  65 110],110,True,True,True,True,False,True,True,True,True,True,True,True
35,[101  94  68],[101  94  68],[101  94  68],[101  94  68],[ 90  91 101],[101  94  68],[101  94  68],[101  94  68],[101  94  68],[101  94  68],[101  94  68],[101  94  68],68,True,True,True,True,False,True,True,True,True,True,True,True
