,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_21_linear_match,hard_agent_21_log10_match,hard_agent_21_ln_match
3,94,94,94,94,42,94,94,94,94,94,94,94,94,True,True,True,True,False,True,True,True,True,True,True,True
4,94,94,94,94,140,94,94,94,94,94,94,94,94,True,True,True,True,False,True,True,True,True,True,True,True
5,28,28,28,28,28,28,28,28,28,28,28,28,110,False,False,False,False,False,False,False,False,False,False,False,False
6,28,28,28,28,72,28,28,28,28,28,28,28,182,False,False,False,False,False,False,False,False,False,False,False,False
7,84,65,84,84,65,84,65,65,84,84,84,84,119,False,False,False,False,False,False,False,False,False,False,False,False
8,123,24,123,123,2,123,24,24,123,123,123,123,24,False,True,False,False,False,False,True,True,False,False,False,False
9,28,28,28,28,28,28,28,28,28,28,28,28,1,False,False,False,False,False,False,False,False,False,False,False,False
10,167,244,244,244,1,244,244,244,206,167,167,167,1,False,False,False,False,True,False,False,False,False,False,False,False
11,30,30,30,30,212,30,30,30,30,30,30,30,77,False,False,False,False,False,False,False,False,False,False,False,False
12,214,214,214,158,158,214,214,214,214,214,214,214,158,False,False,False,True,True,False,False,False,False,False,False,False
13,257,257,257,257,257,257,257,257,257,257,257,257,257,True,True,True,True,True,True,True,True,True,True,True,True
14,269,203,269,269,30,269,203,203,269,269,269,269,76,False,False,False,False,False,False,False,False,False,False,False,False
15,94,94,94,96,156,94,94,94,94,94,94,94,96,False,False,False,True,False,False,False,False,False,False,False,False
16,10,187,10,1,110,10,10,187,10,10,10,10,110,False,False,False,False,True,False,False,False,False,False,False,False
17,255,215,255,255,28,255,255,215,255,255,255,255,255,True,False,True,True,False,True,True,False,True,True,True,True
18,196,30,196,196,185,196,196,30,196,196,196,196,86,False,False,False,False,False,False,False,False,False,False,False,False
19,84,65,84,84,148,84,84,65,84,84,84,84,153,False,False,False,False,False,False,False,False,False,False,False,False
20,84,187,84,84,12,84,84,187,84,84,84,84,12,False,False,False,False,True,False,False,False,False,False,False,False
21,124,124,124,124,105,124,124,124,124,124,124,124,105,False,False,False,False,True,False,False,False,False,False,False,False
22,198,203,198,198,198,198,198,203,198,198,198,198,182,False,False,False,False,False,False,False,False,False,False,False,False
23,209,209,209,209,30,209,209,209,209,209,209,209,209,True,True,True,True,False,True,True,True,True,True,True,True
